Symbol,Name,Ticker,Amount,PurchasePrice
ETHUSDT,Ethereum,ETH,0.03517401,1808.69
MUONUSDT,Micron Technology,MUON,5.00000000,0.00
ZKJUSDT,Polyhedra Network,ZKJ,10.00000000,0.01
BNBUSDT,BNB,BNB,0.01116997,574.90
币安金矿USDT,币安金矿,币安金矿,2521.00000000,0.00
哈基米USDT,哈基米,哈基米,100000.00000000,0.00
长征十号USDT,中国火箭,长征十号,9.00000000,0.00
BABAUSDT,BABA.AI,BABA,7.00000000,0.00
SUMMERUSDT,Summer,SUMMER,100000.00000000,0.00
TANGYUANUSDT,TangYuan,TANGYUAN,0.00000000,0.00
POSIUSDT,Position,POSI,0.00010000,0.00
JOEUSDT,JOE,JOE,0.03257321,0.03
POLUSDT,POL (ex-MATIC),POL,26.07294282,0.08
AMWMATICUSDT,Aave Polygon WMATIC,AMWMATIC,0.00000000,0.08
USDC.EUSDT,Polygon Bridged USDC (Polygon PoS),USDC.E,0.00283600,1.00
AVAXUSDT,Avalanche,AVAX,0.81598196,6.52
WAVAXUSDT,Wrapped AVAX,WAVAX,0.00000656,6.52
JONESUSDT,Jones DAO,JONES,0.00290613,0.10
LPTUSDT,Livepeer,LPT,0.00143465,1.58
PLSUSDT,PlutusDAO,PLS,0.00405771,0.00
RDNTUSDT,Radiant Capital,RDNT,0.00000000,0.00
SPAUSDT,Sperax,SPA,0.04750833,0.00
USDCUSDT,USDC,USDC,0.16219500,1.00
ARBUSDT,Arbitrum,ARB,4.56909727,0.10
OXUSDT,OX Coin,OX,5.00000000,0.00
METISUSDT,Metis,METIS,0.05031297,2.93
WETHUSDT,Metis Bridged WETH (Metis Andromeda),WETH,0.00000112,1802.16
AWETHUSDT,Aave v3 WETH,AWETH,0.00010328,1810.16
ONEUSDT,Harmony,ONE,12.17244431,0.00
ZKUSDT,ZKsync,ZK,106.21984102,0.01
DEXBULLUSDT,The Dextools Bull,DEXBULL,9.00000000,0.00
WEETHUSDT,Wrapped eETH,WEETH,0.00009565,1988.20
DEGENUSDT,Degen,DEGEN,29.97635961,0.00
PEEZYUSDT,Young Peezy AKA Pepe,PEEZY,1.20000000,0.00
BOEUSDT,Boe,BOE,0.69000000,0.00
AIINUUSDT,AI INU,AIINU,1.00000000,0.00
USAUSDT,Based USA,USA,1.00000000,0.00
POVUSDT,Degen POV,POV,25000.00000000,0.00
BSOPUSDT,Bsop,BSOP,6.90000000,0.00
BASEDUSDT,Based Coin,BASED,5444.00000000,0.00
ABASUSDCUSDT,Aave Base USDC,ABASUSDC,0.37124600,1.00
MENDIUSDT,Mendi Finance,MENDI,0.83155519,0.00
ZEROUSDT,ZeroLend,ZERO,96.40000000,0.00
MNTUSDT,Mantle,MNT,1.99607985,0.42
XDAIUSDT,XDAI,XDAI,0.01283903,1.00
COWUSDT,CoW Protocol,COW,4.20382847,0.14
IZIUSDT,iZUMi Finance,IZI,0.00059030,0.00
SCRUSDT,Scroll,SCR,49.08390000,0.03
USDBUSDT,USDB,USDB,0.35998858,1.00
DYMUSDT,Dymension,DYM,4.35622833,0.02
MODEUSDT,Mode,MODE,275.07198467,0.00
BERAUSDT,Berachain,BERA,0.00000000,0.20
ZETAUSDT,ZetaChain,ZETA,1.88191889,0.04
ETH.ETHUSDT,ZetaChain Bridged ETH.ETH (ZetaChain),ETH.ETH,0.00000000,1735.96
BNB.BSCUSDT,ZetaChain Bridged BNB.BSC (ZetaChain),BNB.BSC,0.00000001,556.79
MONUSDT,Monad,MON,1.00000000,0.02
